ID,FirstName,LastName,Position,Height,Weight,Points,Assist,Rebound,Steal,Block
4,Bam,Adebayo,C,2.06,255,19.041,3.877,10.315,1.11,0.973
8,Grayson,Allen,G,1.93,198,13.52,3.027,3.92,0.92,0.587
9,Jarrett,Allen,C,2.06,243,16.506,2.701,10.545,0.688,1.052
12,Kyle,Anderson,F,2.06,230,6.405,4.19,3.456,0.873,0.595
15,Giannis,Antetokounmpo,F,2.11,243,30.438,6.521,11.493,1.164,1.082
18,OG,Anunoby,F,2.01,240,14.66,2.14,4.18,1.32,0.72
19,Ryan,Arcidiacono,G,1.91,195,0.0,0.2,0.4,0.1,0.0
22,Deandre,Ayton,C,2.13,247,16.727,1.636,11.073,1.018,0.764
24,Marvin,Bagley III,F,2.08,235,11.66,1.1,6.22,0.38,0.66
28,Mo,Bamba,C,2.13,231,4.439,0.719,4.175,0.368,1.035
30,Harrison,Barnes,F,2.03,225,12.31,1.262,3.071,0.619,0.143
32,Keita,Bates-Diop,F,2.03,229,3.717,0.717,2.075,0.453,0.396
33,Nicolas,Batum,F,2.03,230,5.574,2.098,4.164,0.787,0.623
37,Bradley,Beal,G,1.93,207,18.189,5.0,4.377,1.019,0.528
38,Malik,Beasley,G,1.93,187,11.253,1.367,3.684,0.759,0.114
44,Davis,Bertans,F,2.08,225,6.744,0.814,1.419,0.605,0.256
45,Patrick,Beverley,G,1.88,180,6.178,2.904,3.274,0.589,0.438
48,Bismack,Biyombo,C,2.03,255,4.35,1.325,5.15,0.25,0.925
53,Bogdan,Bogdanovic,G,1.96,225,16.925,3.138,3.463,1.213,0.35
54,Bojan,Bogdanovic,F,2.01,226,15.228,1.702,2.667,0.544,0.088
57,Devin,Booker,G,1.98,206,27.074,6.941,4.529,0.912,0.412
58,Chris,Boucher,F,2.06,200,6.44,0.44,4.1,0.28,0.48
61,Mikal,Bridges,F,1.98,209,19.585,3.646,4.537,0.963,0.366
62,Miles,Bridges,F,2.01,225,21.0,3.348,7.348,0.942,0.507
65,Malcolm,Brogdon,G,1.93,229,15.718,5.487,3.795,0.692,0.205
66,Dillon,Brooks,G,1.98,225,12.708,1.653,3.417,0.889,0.139
68,Troy,Brown Jr.,F,2.01,215,4.186,1.017,2.441,0.39,0.051
69,Bruce,Brown,G,1.93,202,10.735,2.838,4.206,0.897,0.265
70,Jaylen,Brown,G,1.98,223,23.014,3.557,5.529,1.186,0.529
73,Jalen,Brunson,G,1.88,190,28.727,6.753,3.597,0.922,0.169
74,Thomas,Bryant,C,2.08,248,5.667,0.59,3.692,0.256,0.41
75,Reggie,Bullock,G,1.98,205,2.182,0.341,1.636,0.25,0.114
77,Alec,Burks,G,1.96,214,10.439,1.333,2.273,0.424,0.182
79,Jimmy,Butler,G,2.01,230,20.738,4.967,5.262,1.361,0.279
